Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
341055.2550620145,340201.2396098661,337684.2543702429,341581.50453347026,337024.43087392225,333249.48945635435,340098.2427714161,342312.13835622533
341064.9110156192,340202.31249359995,337694.4467657145,341599.74355694576,337038.9148043293,333241.4428283504,340114.3360274239,342319.1121004954
340991.4184798501,340231.81679628097,337694.4467657145,341573.4579054663,337032.4775019261,333270.4106891645,340095.0241202145,342300.8730770198
341114.2636673765,340247.9100522888,337675.13485850516,341597.06134761113,337069.49199074414,333281.67596837,340081.6130735413,342320.1849842292
341100.85262070334,340252.2015872242,337670.3068817028,341569.70281239785,337061.44536274025,333280.0666427692,340074.1028874043,342323.94007729774
341146.4501793921,340264.53975016356,337663.86957929964,341578.2858822687,337094.70475848974,333282.74885210383,340081.6130735413,342319.6485423623
341121.77385351347,340259.17533149425,337671.9162073036,341586.8689521395,337081.29371181654,333281.13952650304,340092.3419108799,342335.2053565032
341146.4501793921,340287.0703085745,337677.28062597284,341575.60367293406,337071.1013163449,333279.53020090226,340076.78509673895,342327.15872849926
341133.039132719,340276.34147123597,337706.78492865385,341595.9884638773,337068.9555488772,333281.13952650304,3937501.5422703675,85280.84579477856
341133.5755745859,340270.97705256665,337720.19597532705,341604.0350918812,337083.4394792842,333277.3844334346,340103.0707482184,342331.45026343473
341110.508574308,340271.5134944336,337723.9510683955,341617.44613855437,337053.3987347363,333286.5039451723,340092.3419108799,342337.35112397093
341130.3569233843,340274.7321456352,337725.5603939963,341611.54527801817,337087.7310142197,333291.8683638416,340099.3156551499,342330.37737970083
341168.44429593615,340283.85165737296,337722.8781846617,341599.74355694576,337069.49199074414,333292.4048057085,340092.3419108799,342320.1849842292
341173.80871460546,340292.4347272438,337721.2688590609,341602.96220814734,337076.4657350142,333308.4980617163,340119.70044609316,342329.84093783394
341169.51717967005,340291.3618435099,337727.1697195971,341602.96220814734,337082.90303741733,333299.9149918455,340127.21063223016,342332.52314716857
341153.4239236622,340287.6067504414,337721.80530092784,341618.5190222882,337087.19457235275,333300.9878755794,340121.30977169395,342341.1062170394
341174.34515647235,340289.75251790916,337735.7527894679,341622.8105572236,337095.2412003566,333300.45143371244,340126.6741903632,342335.2053565032
341141.08576072287,340291.3618435099,337737.3621150687,341612.618161752,337064.6640139418,333306.8887361156,340138.4759114356,342340.03333330556
341155.033249263,340295.1169365784,337737.3621150687,341633.5393945622,337091.48610728816,333321.9091083895,340122.91909729474,342355.0537055795
341177.5638076739,340294.58049471147,337747.0180686734,341630.85718522756,337111.33445636445,333314.9353641195,340131.50216716557,342348.07996130944
341152.3510399283,340291.3618435099,337751.3096036088,341613.15460361895,337098.99629342515,333310.1073873171,340126.1377484963,342358.27235678106
341164.6892028677,340292.4347272438,337753.9918129435,341631.3936270945,337103.28782836057,333307.96161984943,340144.91321383876,342353.98082184565
341123.9196209812,340287.6067504414,337772.76727828593,341634.61227829603,337074.8564094134,333317.6175734541,340170.1259815843,342358.808798648
